id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
3623,KJLN,large_airport,Joplin Regional Airport,37.151798248291016,-94.49829864501953,981,NA,US,US-MO,Joplin,yes,KJLN,JLN,JLN,NA,https://en.wikipedia.org/wiki/Joplin_Regional_Airport,NA
3624,KJMS,medium_airport,Jamestown Regional Airport,46.92969894,-98.67819977,1500,NA,US,US-ND,Jamestown,yes,KJMS,JMS,JMS,NA,https://en.wikipedia.org/wiki/Jamestown_Regional_Airport,NA
3625,KJST,medium_airport,John Murtha Johnstown Cambria County Airport,40.31610107421875,-78.83390045166016,2284,NA,US,US-PA,Johnstown,yes,KJST,JST,JST,NA,https://en.wikipedia.org/wiki/Johnstown-Cambria_County_Airport,NA
3629,KLAN,medium_airport,Capital City Airport,42.77870178222656,-84.58740234375,861,NA,US,US-MI,Lansing,yes,KLAN,LAN,LAN,NA,https://en.wikipedia.org/wiki/Lansing_Capital_City_Airport,NA
3630,KLAR,medium_airport,Laramie Regional Airport,41.31209945678711,-105.67500305175781,7284,NA,US,US-WY,Laramie,yes,KLAR,LAR,LAR,NA,https://en.wikipedia.org/wiki/Laramie_Regional_Airport,NA
3631,KLAS,large_airport,McCarran International Airport,36.08010101,-115.1520004,2181,NA,US,US-NV,Las Vegas,yes,KLAS,LAS,LAS,http://www.mccarran.com/,https://en.wikipedia.org/wiki/McCarran_International_Airport,NA
3632,KLAX,large_airport,Los Angeles International Airport,33.942501,-118.407997,125,NA,US,US-CA,Los Angeles,yes,KLAX,LAX,LAX,https://www.flylax.com/,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport,NA
3633,KLBB,large_airport,Lubbock Preston Smith International Airport,33.663601,-101.822998,3282,NA,US,US-TX,Lubbock,yes,KLBB,LBB,LBB,http://www.flylia.com/,https://en.wikipedia.org/wiki/Lubbock_Preston_Smith_International_Airport,NA
3634,KLBE,medium_airport,Arnold Palmer Regional Airport,40.27590179,-79.40480042,1199,NA,US,US-PA,Latrobe,yes,KLBE,LBE,LBE,NA,https://en.wikipedia.org/wiki/Arnold_Palmer_Regional_Airport,NA
3635,KLBF,medium_airport,North Platte Regional Airport Lee Bird Field,41.12620163,-100.6839981,2777,NA,US,US-NE,North Platte,yes,KLBF,LBF,LBF,NA,https://en.wikipedia.org/wiki/North_Platte_Regional_Airport,NA
3636,KLBL,medium_airport,Liberal Mid-America Regional Airport,37.0442009,-100.9599991,2885,NA,US,US-KS,Liberal,yes,KLBL,LBL,LBL,NA,https://en.wikipedia.org/wiki/Liberal_Municipal_Airport,NA
3637,KLCH,medium_airport,Lake Charles Regional Airport,30.126100540161133,-93.223297119140625,15,NA,US,US-LA,Lake Charles,yes,KLCH,LCH,LCH,NA,https://en.wikipedia.org/wiki/Lake_Charles_Regional_Airport,NA
3638,KLCK,large_airport,Rickenbacker International Airport,39.813801,-82.927803,744,NA,US,US-OH,Columbus,yes,KLCK,LCK,LCK,http://rickenbackerinlandport.com/en/rickenbacker-international-airport/,https://en.wikipedia.org/wiki/Rickenbacker_International_Airport,Lockbourne Army Air Field
3639,KLEB,medium_airport,Lebanon Municipal Airport,43.626098632799994,-72.30419921880001,603,NA,US,US-NH,Lebanon,yes,KLEB,LEB,LEB,http://flyleb.com/,https://en.wikipedia.org/wiki/Lebanon_Municipal_Airport_(New_Hampshire),NA
3640,KLEX,large_airport,Blue Grass Airport,38.0364990234375,-84.60590362548828,979,NA,US,US-KY,Lexington,yes,KLEX,LEX,LEX,http://www.bluegrassairport.com/,https://en.wikipedia.org/wiki/Blue_Grass_Airport,NA
3642,KLFT,large_airport,Lafayette Regional Airport,30.20529938,-91.98760223,42,NA,US,US-LA,Lafayette,yes,KLFT,LFT,LFT,http://www.lftairport.com/Home,https://en.wikipedia.org/wiki/Lafayette_Regional_Airport,NA
3643,KLGA,large_airport,La Guardia Airport,40.777199,-73.872597,21,NA,US,US-NY,New York,yes,KLGA,LGA,LGA,https://www.laguardiaairport.com/,https://en.wikipedia.org/wiki/LaGuardia_Airport,"Manhattan, New York City, NYC, Glenn H. Curtiss Airport, North Beach Airport, La Guardia"
3644,KLGB,medium_airport,Long Beach Airport (Daugherty Field),33.817699,-118.152,60,NA,US,US-CA,Long Beach,yes,KLGB,LGB,LGB,http://www.lgb.org/,https://en.wikipedia.org/wiki/Long_Beach_Airport,Daugherty Field
3645,KLIT,large_airport,Bill & Hillary Clinton National Airport/Adams Field,34.729400634799994,-92.2242965698,262,NA,US,US-AR,Little Rock,yes,KLIT,LIT,LIT,NA,https://en.wikipedia.org/wiki/Little_Rock_National_Airport,NA
3646,KLMT,medium_airport,Crater Lake-Klamath Regional Airport,42.156101,-121.733002,4095,NA,US,US-OR,Klamath Falls,yes,KLMT,LMT,LMT,NA,https://en.wikipedia.org/wiki/Klamath_Falls_Airport,Klamath Falls Airport
3647,KLNK,medium_airport,Lincoln Airport,40.85100173950195,-96.75920104980469,1219,NA,US,US-NE,Lincoln,yes,KLNK,LNK,LNK,http://www.lincolnairport.com/,https://en.wikipedia.org/wiki/Lincoln_Airport_%28Nebraska%29,"Lincoln Army Air Field, Lincoln Air Force Base, 155th Air Refueling Wing"
3648,KLNS,medium_airport,Lancaster Airport,40.121700286865234,-76.29609680175781,403,NA,US,US-PA,Lancaster,yes,KLNS,LNS,LNS,NA,https://en.wikipedia.org/wiki/Lancaster_Airport_(Pennsylvania),NA
3651,KLRD,medium_airport,Laredo International Airport,27.543800354003906,-99.46160125732422,508,NA,US,US-TX,Laredo,yes,KLRD,LRD,LRD,NA,https://en.wikipedia.org/wiki/Laredo_International_Airport,NA
3654,KLSE,medium_airport,La Crosse Municipal Airport,43.879002,-91.256699,655,NA,US,US-WI,La Crosse,yes,KLSE,LSE,LSE,http://www.lseairport.com/,https://en.wikipedia.org/wiki/La_Crosse_Municipal_Airport,"airport, regional"
